address,headquarters,industry,market_cap,name,number_of_employees,revenue,telephone,website
"1, Rue Du Colonel Pierre Avia, Paris Cedex, 75730",France,Construction,$4.1B,Colas SA,"58,219",$15.6B,33 1 47617500,www.colas.com
"601 Riverside Avenue, Jacksonville, Florida, 32204",United States of America,Financial Services,$11.2B,Fidelity National Financial Inc,"28,290",$15.6B,1 904 8548100,fnf.com
"9330 Zionsville Road, Indianapolis, 46268",United States of America,Chemicals,$43.9B,Corteva Inc,"21,000",$15.7B,1 302 4853000,www.corteva.com
"1-3-6, Nakamagome, Ota-Ku, Tokyo, 143-8555",Japan,Technology and Communications,$4.7B,Ricoh Co Ltd,"78,360",$15.7B,81 3 37778111,www.ricoh.co.jp
"No. 2 Xuanwumennei Avenue, Xicheng District, Beijing, 100031",China,Power,$7.4B,Huadian Power International Corporation Ltd,"24,711",$15.7B,86 10 83567900,www.hdpi.com.cn
"Moskva, Ul. Udal'Tsova, D. 2, Moscow, 119415",Russia,Energy and Utilities,$46.0B,Novatek,"18,404",$15.7B,7 495 7306000,www.novatek.ru
"Room 2301, 23f, Great Eagle Centre, 23 Harbour Road, Wanchai, Hong Kong",Hong Kong,Automotive,$15.0B,Geely Automobile Holdings Ltd,"47,000",$15.8B,852  25983333,www.geelyauto.com.hk
"777 Long Ridge Rd, Stamford, Connecticut, 06902-1250",United States of America,Financial Services,$15.0B,Synchrony Financial,"18,000",$15.8B,1 203 5856730,www.synchrony.com
"China Southern Airlines Mansion, No. 68 Qixin Road, Baiyun District, Guangzhou, Guangdong, 510403",China,Transport and Logistics,$18.7B,China Southern Airlines Co Ltd,"97,709",$15.8B,86 20 86112480,www.csair.com/cn/index.shtml
"Bharti Crescent, 1, Nelson Mandela Road, Vasant Kunj, Phase Ii, New Delhi, 110070",India,Technology and Communications,$54.9B,Bharti Airtel Ltd,"19,351",$15.8B,91 11 46666100,www.airtel.in
"2702 Love Field Dr, Po Box 36611, Dallas, Texas, 75235",United States of America,Transport and Logistics,$21.6B,Southwest Airlines Co,"62,333",$15.8B,1 214 7924000,www.southwest.com
"Hyundai Bldg., 75, Yulgok-Ro, Jongno-Gu, Seoul, 03058",South Korea,Construction,$3.3B,Hyundai Engineering & Construction Co Ltd,"6,360",$15.8B,82 2 15777755,www.hdec.kr
"1560, Blc 5, Sl. 301, Vila Hamburguesa, Sao Paulo, 05.319-000",Brazil,Consumer Packaged Goods,$1.0B,Marfrig Global Foods SA,"31,779",$15.8B,55 11 37928600,www.marfrig.com.br
"6035 Parkland Boulevard, Cleveland, Ohio, 44124-4141",United States of America,Industrial Goods and Machinery,$39.5B,Parker Hannifin Corp,"55,090",$15.9B,1 216 8963000,www.parker.com/portal/site/PARKER/menuitem.b90576e
"Suite 800, 700 Milam St., Houston, Texas, 77002",United States of America,Energy and Utilities,$38.9B,Cheniere Energy Inc,"1,550",$15.9B,1 713 3755000,www.cheniere.com
"PO Box 686, Dubai",United Arab Emirates,Transport and Logistics,,The Emirates Group,"85,219",$15.9B,971  147081111,www.theemiratesgroup.com
"124 Dvora HaNevi'a St., Tel Aviv, 6944020",Israel,Pharmaceuticals and Healthcare,$11.7B,Teva Pharmaceutical Industries Ltd,"34,713",$15.9B,972 3 9148213,www.tevapharm.com
"Nanshan District, Shenzhen, Guangdong, 518053",China,Leisure and Arts,$6.5B,Shenzhen Overseas Chinese Town Co Ltd,"24,526",$15.9B,86 755 26909069,www.octholding.com
"2-16-10, Ginza, Chuo-Ku, Tokyo, 104-8125",Japan,Transport and Logistics,$6.1B,Yamato Holdings Co Ltd,"216,873",$16.0B,81 3 35414141,www.yamato-hd.co.jp
"242 Exhibition Street, Level 41, Melbourne, Victoria, 3000",Australia,Technology and Communications,$33.0B,Telstra Corp Ltd,"28,889",$16.0B,61 3 86474954,www.telstra.com.au/aboutus
"No. 9, Guangningbo Street, Xicheng District, Beijing, 100033",China,Power,$5.9B,Datang International Power Generation Co Ltd,"32,641",$16.0B,86 10 88008678,www.dtpower.com
"Db Financial Center, 432, Teheran-Ro, Gangnam-Gu, Seoul, 06194",South Korea,Financial Services,$3.9B,DB Insurance Co Ltd,"4,684",$16.1B,82 2 15880100,www.idbins.com
"777 Old Saw Mill River Road, Tarrytown, New York, 10591-6717",United States of America,Pharmaceuticals and Healthcare,$78.9B,Regeneron Pharmaceuticals Inc,"10,368",$16.1B,1 914 8477000,www.regeneron.com
"26 Boulevard Royal, 4th Floor, Luxembourg, 2449",Luxembourg,Metals and Mining,$7.1B,Ternium SA,"20,142",$16.1B,352 4661 113815,www.ternium.com
"C.P.Tower, 313 Silom Road, Silom, Bangrak, Bangkok, 10500",Thailand,Agriculture and Forestry,$6.3B,Charoen Pokphand Foods Public Co Ltd,"128,548",$16.1B,66 26 258000,www.cpfworldwide.com
"Is Yatirim Menkul Degerler A.S., Istanbul, 34330",Turkey,Financial Services,$982.9M,Is Yatirim Menkul Degerler A.S.,432,$16.1B,90 212 3502000,www.isyatirim.com.tr
"Marunouchi Nijubashi Bldg., 3-2-3, Marunouchi, Chiyoda-Ku, Tokyo, 100-8117",Japan,Metals and Mining,$2.2B,Mitsubishi Materials Corp,"23,711",$16.1B,81 3 52525200,www.mmc.co.jp
"358 S Main St, Burlington, North Carolina, 27215-5837",United States of America,Medical Equipment,$22.3B,Laboratory Corp of America Holdings,"75,500",$16.1B,1 336 2291127,www.labcorp.com
"2500, Shingai, Iwata-Shi, Shizuoka, 438-8501",Japan,Automotive,$8.6B,Yamaha Motor Co Ltd,"51,249",$16.1B,81 53 8321115,global.yamaha-motor.com/jp
"1-10-1, Higashikotari, Nagaokakyo-Shi, Kyoto, 617-8555",Japan,Technology and Communications,$39.5B,Murata Manufacturing Co Ltd,"77,581",$16.1B,81 75 9519111,www.murata.com
"Fabianinkatu 27, Helsinki, 00100",Finland,Financial Services,$26.7B,Sampo plc,"13,643",$16.2B,358 10 5160100,www.sampo.com
"240 Greenwich Street, New York, 10286",United States of America,Financial Services,$39.8B,The Bank of New York Mellon Corp,"51,100",$16.2B,1 212 4951784,www.bnymellon.com
"Number 1, Yuyuantan South Road, Beijing, Hubei, 100038",China,Alternative Energy,,China Three Gorges Corp,330,$16.2B,86 10 57081999,www.ctg.com.cn
"Santa Rosa 76 Piso 17, Metropolitana, Santiago, 8330099",Chile,Power,$15.1B,Enel Americas SA,"16,323",$16.2B,56 2 23534400,www.enelamericas.com
"Pl.Metallurgov, 2, Lipetsk, 398040",Russia,Metals and Mining,$9.8B,Novolipetsk Steel,"52,800",$16.2B,7 474 2444006,nlmk.com
"Nakano Central Park South, 10-2, Nakano 4-chome, Nakano-Ku, Tokyo, 164-0001",Japan,Consumer Packaged Goods,$13.9B,Kirin Holdings Co Ltd,"29,515",$16.2B,81 3 68377000,www.kirinholdings.co.jp
"255 Fiserv Dr, Po Box 979, Brookfield, Wisconsin, 53045",United States of America,Technology and Communications,$65.6B,Fiserv Inc,"44,000",$16.2B,1 414 8795000,www.fiserv.com
"L 24 2 Market St, Sydney, New South Wales, 2000",Australia,Energy and Utilities,$4.7B,Ampol Ltd,"8,300",$16.2B,61 2 92505000,www.ampol.com.au
"109 Fanshawe Street, Auckland, 1020",New Zealand,Consumer Packaged Goods,$2.7B,Fonterra Co-operative Group Ltd,"19,000",$16.2B,64 9 3749000,www.fonterra.com
"123 S Front St, Memphis, Tennessee, 38103",United States of America,Automotive,$44.0B,AutoZone Inc,"69,440",$16.3B,1 901 4956500,www.autozone.com
"Suite 231, 20408 Bashan Drive, Ashburn, Virginia, 20147",United States of America,Technology and Communications,$6.7B,DXC Technology Co,"130,000",$16.3B,1 703 2459700,www.dxc.com/us/en
"No.1 Yejin Road, Xinyu, Jiangxi, 338001",China,Metals and Mining,$1.9B,Xinyu Iron & Steel Co Ltd,"15,670",$16.3B,86 790 6290782,www.xinsteel.com.cn
"Case Postale 43070, Avenue General Guisan, Pully, Waadt, 1009",Switzerland,Paper and Packaging,,Tetra Laval International SA,"35,275",$16.3B,41 21 7292211,www.tetralaval.com
"Muehlenstrasse 26, Schaffhausen, 8200",Switzerland,Technology and Communications,$39.1B,TE Connectivity Ltd,"92,000",$16.3B,41 52 6336677,www.te.com
"Am Hauptbahnhof 2, Stuttgart, Baden-Wurttemberg, 70173",Germany,Financial Services,,Landesbank Baden-Wurttemberg,"9,893",$16.3B,49 711 1270,www.lbbw.de
"No.260 Jianxin East Road, Jiangbei District, Chongqing, 400023",China,Automotive,$17.0B,Chongqing Changan Automobile Co Ltd,"42,444",$16.3B,86 23 67594008,www.changan.com.cn
"601 E. Beardsley Avenue, Elkhart, Indiana, 46514",United States of America,Automotive,$4.5B,Thor Industries Inc,"32,000",$16.3B,1 574 9707460,www.thorindustries.com
"2-19-10, Aobadai, Meguro-Ku, Tokyo, 153-0042",Japan,Retailing,$11.6B,Pan Pacific International Holdings Corp,"16,912",$16.3B,81 3 57257532,ppi-hd.co.jp
"Gezhouba Masion, No.558 Jiefang Avenue, Qiaokou District, Wuhan, Hubei, 430033",China,Construction,,China Gezhouba Group Co Ltd,"39,071",$16.3B,86 27 59270353,www.cggc.cn
"Menara Astra 59 Floor, Jl. Jenderal Sudirman Kav 5-6, Jakarta, 10220",Indonesia,Automotive,$15.1B,PT Astra International Tbk,"126,079",$16.3B,62 21 50843888,www.astra.co.id
"53 Moo 2 Charan Sanit Wong Road, Bang Kruai, Nonthaburi, 11130",Thailand,Power,,Electricity Generating Authority of Thailand,"17,640",$16.3B,66 2 4361416,www.egat.co.th
"2400 Market Street, Philadelphia, Pennsylvania, 19103",United States of America,Business and Consumer Services,$11.5B,Aramark,"248,300",$16.3B,1 215 2383000,www.aramark.com
"No. 288, Qingchun Road, Hangzhou, Zhejiang, 310006",China,Financial Services,$8.9B,China Zheshang Bank Co Ltd,"18,412",$16.5B,86 571 88268966,www.czbank.com/cn/index.shtml
"6, Takeda, Tobadono-Cho, Fushimi-Ku, Kyoto-Shi, 612-8501",Japan,Technology and Communications,$19.4B,Kyocera Corp,"83,001",$16.4B,81 75 6043500,www.kyocera.co.jp
"2485 Augustine Drive, Santa Clara, California, 95054",United States of America,Technology and Communications,$113.7B,Advanced Micro Devices Inc,"15,500",$16.4B,1 408 7494000,www.amd.com/en
"16600 Swingley Ridge Road, Chesterfield, Missouri, 63017",United States of America,Financial Services,$9.4B,Reinsurance Group of America Inc,"3,500",$16.4B,1 918 4937700,www.rgare.com
"Industriestrasse 1-3, Herzogenaurach, 91074",Germany,Automotive,$1.2B,Schaeffler AG,"82,790",$16.4B,49 9132 820,www.schaeffler.com
"Electronics City Hosur Rd, Bangalore, 560100",India,Technology and Communications,$79.0B,Infosys Ltd,"345,218",$16.5B,91 80 28520261,www.infosys.com
"1015 Third Avenue, Seattle, Washington, 98104",United States of America,Transport and Logistics,$17.1B,Expeditors International of Washington Inc,"19,070",$16.5B,1 206 6743400,www.expeditors.com
"One Adp Boulvard, Roseland, New Jersey, 07068-1728",United States of America,Technology and Communications,$97.2B,Automatic Data Processing Inc,"60,000",$16.5B,1 973 9745000,www.adp.com
"Mutualpark, Jan Smuts Drive Pinelands, Cape Town, 7405",South Africa,Financial Services,$3.2B,Old Mutual Ltd,"28,837",$16.5B,27 21 5094534,www.oldmutual.com
"No.296, Section 4, Ren-Ai Road, Taipei, 106",Taiwan,Financial Services,$23.3B,Cathay Financial Holding Co Ltd,"56,759",$16.6B,886 2 7087698,www.cathayholdings.com
"100 W 5th St, Tulsa, Oklahoma, 74103-4279",United States of America,Energy and Utilities,$30.7B,Oneok Inc,"2,847",$16.5B,1 918 5887000,www.oneok.com
"No. 8 Beiqing Road, Changping District, Beijing, 102206",China,Construction,$21.4B,Sany Heavy Industry Co Ltd,"23,695",$16.6B,86 10 60737888,www.sanyhi.com
"1 Siam Cement Road, Bang Su Subdistrict, Bang Su District, Bangkok, 10800",Thailand,Construction,$12.9B,The Siam Cement Public Co Ltd,"58,283",$16.6B,66 25 863333,www.scg.com
"Suite 1000, 1001 Louisiana Street, Houston, Texas, 77002",United States of America,Energy and Utilities,$41.3B,Kinder Morgan Inc,"10,529",$16.6B,1 713 3699457,www.kindermorgan.com
"Drammensveien 131, Oslo, 0277",Norway,Chemicals,$11.8B,Yara International ASA,"17,800",$16.6B,47 2 4157000,www.yara.com
"Nittetsu Bussan Bldg., 8-5-27, Akasaka, Chuo-Ku, Tokyo, 103-6025",Japan,Metals and Mining,$2.3B,Nippon Steel Trading Corp,"6,584",$16.6B,81 3 67725001,www.nst.nipponsteel.com
"Standard Bank Centre, Fl 9th, 5 Simmonds Street, Johannesburg, 2001",South Africa,Financial Services,$17.0B,Standard Bank Group Ltd,"49,000",$16.6B,27 11 6361781,www.standardbank.com
"Two Folsom Street, San Francisco, California, 94105",United States of America,Retailing,$4.7B,The Gap Inc,"97,000",$16.7B,1 415 4270100,www.gapinc.com
"Piazza Monte Grappa, 4, Roma, 00195",Italy,Aerospace and Defense,$5.4B,Leonardo SpA,"50,441",$16.7B,39 06 324731,www.leonardo.com
"974 Centre Rd Bldg 730, Wilmington, Delaware, 19805-1269",United States of America,Chemicals,$36.4B,DuPont de Nemours Inc,"28,000",$16.7B,1 302 7741000,www.dupont.com
"30 Hudson Yards, New York, 10001",United States of America,Financial Services,$45.6B,KKR & Co Inc,"3,238",$16.7B,1 302 3389793,ir.kkr.com
"Block 3, Cifi Hongqiao International, Lane 288, Tongxie Road, Changning District, Shanghai, 200335",China,Construction,$1.5B,CIFI Holdings (Group) Co Ltd,"25,785",$16.7B,86 21 60701010,www.cifi.com.cn
"Warfvinges Vag 25, Stockholm, 11274",Sweden,Construction,$7.1B,Skanska AB,"27,891",$16.8B,46 10 4480000,www.skanska.com
"No.1, Jhonggang Road, Siaogang District, Kaohsiung, 812",Taiwan,Metals and Mining,$16.3B,China Steel Corp,"28,490",$16.8B,886 7 8021111,www.csc.com.tw
"1 Riverside Plz, Columbus, Ohio, 43215-2355",United States of America,Power,$47.5B,American Electric Power Co Inc,"16,688",$16.8B,1 614 7161000,www.aep.com
"Am Campeon 1-12, Neubiberg, 85579",Germany,Technology and Communications,$45.7B,Infineon Technologies AG,"54,946",$16.8B,49 89 2340,www.infineon.com
"33rd Floor, Harbour Centre, 25 Harbour Road, Wanchai, Hong Kong",Hong Kong,Transport and Logistics,$11.4B,Orient Overseas (International) Ltd,"10,935",$16.8B,852  28333888,www.ooilgroup.com
"One Ppg Pl 40 East, Pittsburgh, Pennsylvania, 15272",United States of America,Chemicals,$30.0B,PPG Industries Inc,"49,300",$16.8B,1 412 4343131,www.ppg.com
"No. 949, Fushan South Road, Zoucheng City, Ji'Nan, Shandong , 273500",China,Metals and Mining,$22.4B,Yankuang Energy Group Co Ltd,"61,864",$16.8B,86 537 5382319,www.yanzhoucoal.com.cn
"2 Rue De Robert-Esnault-Pelterie, Bp 93290, Paris, 75007",France,Transport and Logistics,$4.4B,Air France-KLM SA,"73,719",$16.9B,33 1 41565656,www.airfranceklm.com/fr
"P.O.Box 87912, Riyadh, 11652",Saudi Arabia,Technology and Communications,$49.6B,Saudi Telecom Co,,$16.9B,966 1 14521845,www.stc.com.sa
"12f, Shibaura Renasite Tower, 3-9-1, Shibaura, Chuo-Ku, Tokyo, 103-6128",Japan,Technology and Communications,$13.7B,TDK Corp,"116,808",$16.9B,81 3 67781000,www.jp.tdk.com
"1000 Louisiana Street, Suite 4300, Targa Resources Partners Lp, Houston, Texas, 77002",United States of America,Energy and Utilities,$16.6B,Targa Resources Corp,"2,430",$16.9B,1 713 5841000,www.targaresources.com
"Suite 2100, 811 Louisiana Street, Houston, Texas, 77002-5036",United States of America,Energy and Utilities,,Targa Resources Partners LP,"2,430",$16.9B,1 713 5841000,www.targaresources.com
"Moutai Town, Renhuai City, Zunyi, Guizhou, 564501",China,Consumer Packaged Goods,$351.1B,Kweichow Moutai Co Ltd,"29,971",$17.0B,86 851 22386002,www.moutaichina.com
"1500 Solana Blvd Ste 3400, Westlake, Texas, 76262-1690",United States of America,Consumer Packaged Goods,,Core-Mark Holding Company Inc,"7,534",$17.0B,1 940 2938600,https://www.core-mark.com/
"No. 301, Zhongzheng Road, Yongkang District, Tainan, 710",Taiwan,Consumer Packaged Goods,$12.8B,Uni-President Enterprises Corp,,$17.0B,886 6 2532121,www.uni-president.com.tw
"700 Universe Blvd, Juno Beach, Florida, 33408",United States of America,Power,$166.5B,NextEra Energy Inc,"15,000",$17.1B,1 561 6944000,www.nexteraenergy.com
"Gulbahar Mah. Buyukdere Cad. No: 101/A, Istanbul, 34394",Turkey,Energy and Utilities,$8.6B,Turkiye Petrol Rafinerileri AS,"5,826",$17.1B,90 212 8789000,www.tupras.com.tr
"Messeallee 11, Essen, 45131",Germany,Chemicals,$11.3B,Brenntag SE,"17,200",$17.0B,49 201 64960,www.brenntag.com
"338, Kuze Tonoshiro-Cho, Minami-Ku, Kyoto-Shi, 601-8205",Japan,Industrial Goods and Machinery,$34.5B,Nidec Corp,"114,371",$17.1B,81 75 9221111,www.nidec.com
"2825 Airview Blvd, Kalamazoo, Michigan, 49002",United States of America,Medical Equipment,$95.4B,Stryker Corp,"46,000",$17.1B,1 269 3892600,www.stryker.com
"Tower B, Shinagawa Intercity, 2-15-2, Konan, Minato-Ku, Tokyo, 108-8502",Japan,Construction,$5.4B,Obayashi Corp,"15,470",$17.1B,81 3 57691111,www.obayashi.co.jp
"1800, 240-4 Ave Sw, Calgary, Alberta, T2P4H4",Canada,Energy and Utilities,$4.0B,Parkland Corp,"5,946",$17.1B,1 403 5672500,www.parkland.ca/en
"No. 1 Jinshan Avenue, Jinshan Development Zone, Huhehaote, 010110",China,Consumer Packaged Goods,$30.5B,Inner Mongolia Yili Industrial Group Co Ltd,"61,598",$17.1B,86 471 3350092,www.yili.com
"4650 Cushing Blvd, Fremont, California, 94538",United States of America,Technology and Communications,$63.7B,Lam Research Corp,"17,700",$17.2B,1 510 6590200,www.lamresearch.com
"Delegacion Alvaro Obregon, Colonia Pena Blanca Santa Fe, 01210",Mexico,Consumer Packaged Goods,$21.6B,Grupo Bimbo SAB de CV,"144,868",$17.2B,52 55 52686600,www.grupobimbo.com
"Level 18, 388 George Street, Sydney, New South Wales, 2000",Australia,Financial Services,$13.8B,QBE Insurance Group Ltd,"11,651",$17.3B,61 2 93754444,www.qbe.com
"No. 168 Yincheng Middle Road, China (Shanghai) Pilot Free Trade Zone, 200120",China,Financial Services,$12.6B,Bank of Shanghai Co Ltd,"13,202",$17.3B,86 21 68476988,www.bosc.cn
"Via Stalingrado, 45, Bologna, 40128",Italy,Financial Services,$7.3B,UnipolSai Assicurazioni SpA,"12,435",$17.3B,39 02 64021,www.unipolsai.com/it
"200 Peach Street, El Dorado, Arkansas, 71730",United States of America,Retailing,$5.9B,Murphy USA Inc,"6,245",$17.4B,1 870 8757600,www.murphyusa.com
"Via Stalingrado, 45, Bologna, 40128",Italy,Financial Services,$3.7B,Unipol Gruppo SpA,"12,499",$17.4B,39 051 5077111,www.unipol.it/it
"Paris Cedex 17, 75838",France,Wholesale,$6.7B,Rexel SA,"26,294",$17.4B,33 1 42858500,www.rexel.com
"No. 11 Cua Bac Street, Truc Bach Ward, Hanoi, Ha Noi, 118000",Vietnam,Power,,Vietnam Electricity,,$17.4B,,www.evn.com.vn
"Level 2 87 Adelaide Terrace, East Perth, 6004",Australia,Metals and Mining,$47.8B,Fortescue Metals Group Ltd,"10,164",$17.4B,61 8 62188888,www.fmgl.com.au
"75, Lenin Street, Almetyevsk, Republic of Tatarstan, 425450",Russia,Energy and Utilities,$11.5B,Tatneft,"60,743",$17.4B,,www.tatneft.ru
"Bunkyo Garden Gate Tower, 1-1-1, Koishikawa, Bunkyo-Ku, Tokyo, 112-8778",Japan,Wholesale,$1.0B,Mitsubishi Shokuhin Co Ltd,"4,944",$17.4B,81 3 45535111,www.mitsubishi-shokuhin.com
"Drammensveien 264, Oslo, 0283",Norway,Metals and Mining,$17.4B,Norsk Hydro ASA,"31,264",$17.4B,47 2 2538100,www.hydro.com
"300 Park Avenue, New York, 10022",United States of America,Consumer Packaged Goods,$63.7B,Colgate-Palmolive Co,"33,800",$17.4B,1 212 3102000,www.colgatepalmolive.com
"1515 3rd Street, San Francisco, California, 94158",United States of America,Transport and Logistics,$57.8B,Uber Technologies Inc,"29,300",$17.5B,1 415 6128582,www.uber.com
"200 Innovation Way, Akron, Ohio, 44316-0001",United States of America,Automotive,$3.3B,The Goodyear Tire & Rubber Co,"72,000",$17.5B,1 330 7962121,www.goodyear.com
"Special No.1 Dongfeng Road, Wuhan Economic & Tech Develpmnt Zone, Hubei, 430056",China,Automotive,$5.1B,Dongfeng Motor Group Co Ltd,"122,061",$17.5B,86 27 84285274,www.dfmg.com.cn
"12011 Sunset Hills Road, Reston, Virginia, 20190-5918",United States of America,Construction,,Bechtel Corp,,$17.5B,1 571 3926300,www.bechtel.com
"185 Farringdon Road, London, Greater London, EC1A1AA",United Kingdom,Transport and Logistics,$2.6B,International Distributions Services Plc,"159,444",$17.5B,,www.royalmailgroup.com
"No.166, Section 2, Minsheng East Road, Jhongshan District, Taipei, 104",Taiwan,Transport and Logistics,$10.7B,Evergreen Marine Corp Taiwan Ltd,"4,966",$17.5B,886 2 25057766,www.evergreen-marine.com
"8111 Westchester Dr., Suite 400, Dallas, Texas, 75225",United States of America,Energy and Utilities,$3.8B,Sunoco LP,"2,225",$17.6B,1 832 2343600,www.sunocolp.com
"345 Park Ave, San Jose, California, 95110-2704",United States of America,Technology and Communications,$158.7B,ADOBE Inc,"25,988",$17.6B,1 408 5366000,www.adobe.com
"2-2-2, Yoyogi, Shibuya-Ku, Tokyo, 151-8578",Japan,Transport and Logistics,,East Japan Railway Co,"71,240",$17.6B,81 3 53341151,www.jreast.co.jp
"#31-02 Suntec Tower Three, Singapore, 038988",Singapore,Energy and Utilities,$676.4M,China Aviation Oil (Singapore) Corp Ltd,82,$17.6B,65 6 3348979,www.caosco.com
"Voestalpine-Strasse 1, Linz, 4020",Austria,Metals and Mining,$5.7B,Voestalpine AG,"50,374",$17.6B,43 50 304150,www.voestalpine.com/group
"Sea Containers House, 18 Upper Ground, London, SE19GL",United Kingdom,Media,$12.1B,WPP Plc,"109,382",$17.6B,44 20 74082204,www.wpp.com
"No. 8, Jiuhua West Road, Maanshan, Anhui, 243003",China,Metals and Mining,$2.9B,Maanshan Iron & Steel Co Ltd,"18,730",$17.7B,86 555 2888158,www.magang.com.cn
